Province;Municipality;MunicipalityAltitude;Name;Altitude;Category;BedsNumber
VERBANO-CUSIO-OSSOLA;BACENO;655;SESTO CALENDE;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;CEPPO MORELLI;753;LONGA;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;FALMENTA;715;ALPE FORNA';1649;Bivacco Fisso;13
VERBANO-CUSIO-OSSOLA;ANTRONA SCHIERANCO;902;ANDOLLA;2061;Rifugio Alpino;75
VERBANO-CUSIO-OSSOLA;BOGNANCO;980;IL DOSSO;1740;Rifugio Alpino;40
VERBANO-CUSIO-OSSOLA;BEURA-CARDEZZA;257;ALPE POZZOLO;1640;Bivacco Fisso;15
VERBANO-CUSIO-OSSOLA;CALASCA-CASTIGLIONE;665;ALL'ALPE LAGO;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;CRAVEGGIA;889;BLITZ;1250;Rifugio Alpino;4
VERBANO-CUSIO-OSSOLA;BOGNANCO;980;ALPE GATTASCOSA;2000;Rifugio Alpino;20
VERBANO-CUSIO-OSSOLA;BOGNANCO;980;IL LAGHETTO;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;BACENO;655;COMBI E LANZA;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;BOGNANCO;980;SAN BERNARDO;1630;Rifugio Alpino;16
VERBANO-CUSIO-OSSOLA;ANTRONA SCHIERANCO;902;ANTIGINE;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;ANTRONA SCHIERANCO;902;CAMPOSECCO;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;CREVOLADOSSOLA;375;ANDROMIA;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;CURSOLO-ORASSO;886;MONTE VECCHIO;1094;Rifugio non gestito;23
VERBANO-CUSIO-OSSOLA;BACENO;655;CAPANNA ENRICO CASTIGLIONI;1640;Rifugio Alpino;35
VERBANO-CUSIO-OSSOLA;BEURA-CARDEZZA;257;AMICI DELLA MONTAGNA;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;CRAVEGGIA;889;BAITIN DUL SARACA;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;CRAVEGGIA;889;LA STRIA RUSA DAL BLITZ;1200;Rifugio Alpino;8
VERBANO-CUSIO-OSSOLA;FORMAZZA;1280;3A;2960;Rifugio Alpino;90
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;CITTA' DI LUINO;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;EUGENIO SELLA;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;WENGWALD HUTTE;1914;Rifugio Alpino;12
